DATE,TIME,AGE,SEX,RACE,GEOCODE_OVERRIDE,DISTRICT_NUM,DISTRICT_NAME,NEIGHBORHOOD_NAME,COMMUNITY_NAME,LINK,MURDER,PUB_CAUSE,LAT,LNG,IS_MURDER,IS_FATAL,HOUR,HOUR_HH,MINUTES_MM,ID
2015-09-10,6:20,38,M,B,"(41.74557113647461, -87.59134674072266)",4,South Chicago,Avalon Park,Avalon Park,,Yes,Beaten,41.74557113647461, -87.59134674072266,1,1,06:20:00,6,20,892
2015-10-17,21:05,3,M,W(H),"(41.90007, -87.69963)",12,Near West,Humboldt Park,West Town,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20151017-story.html,Yes,Shot,41.90007, -87.69963,1,1,21:05:00,21,5,893
2015-11-05,19:58,22,M,B,"(41.750492095947266, -87.59996032714844)",6,Gresham,East Chatham,Chatham,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20151105-story.html,Yes,Shot,41.750492095947266, -87.59996032714844,1,1,19:58:00,19,58,894
2015-11-14,12:30,25,M,B,"(42.02060021460056, -87.67182514071465)",24,Rogers Park,Rogers Park,Rogers Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20151114-story.html,Yes,Shot,42.02060021460056, -87.67182514071465,1,1,12:30:00,12,30,895
2015-11-22,20:40,19,M,B,"(41.790569, -87.642982)",7,Englewood,Englewood,Englewood,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-20151122-story.html,,,41.790569, -87.642982,0,1,20:40:00,20,40,896
2015-11-27,13:19,36,M,W,"(41.882602, -87.720863)",11,Harrison,East Garfield Park,West Garfield Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20151127-story.html,Yes,Shot,41.882602, -87.720863,1,1,13:19:00,13,19,897
2015-11-28,20:55,32,M,W,"(41.84855651855469, -87.69306945800781)",10,Ogden,Little Village,South Lawndale,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20151128-story.html,Yes,,41.84855651855469, -87.69306945800781,1,1,20:55:00,20,55,898
2015-11-29,19:55,28,M,B,"(41.78725051879883, -87.64764404296875)",7,Englewood,Englewood,Englewood,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-20151129-story.html,Yes,Shot,41.78725051879883, -87.64764404296875,1,1,19:55:00,19,55,899
2015-12-01,01:05,16,M,,"(41.74401752650738, -87.60484769940376)",6,Gresham,East Chatham,Chatham,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20151130-story.html,,,41.74401752650738, -87.60484769940376,0,1,01:05:00,1,5,900
2015-12-04,19:10,64,M,,"(41.80069260299206, -87.70258001983166)",9,Deering,Gage Park,Gage Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20151204-story.html,,,41.80069260299206, -87.70258001983166,0,1,19:10:00,19,10,901
